# 
# 03/27/2023 14:52:28
# The parameters defined in the project are:
# ,P1 - aoa [degree],P2 - lift [N],P3 - drag [N],P4 - pitch [J]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4
DP 125,125,-0.275204,0.393977,-0.0705058
DP 126,126,-0.28477,0.39298,-0.0710707
DP 127,127,-0.292416,0.389028,-0.0714611
DP 128,128,-0.291803,0.374531,-0.0699165
DP 129,129,-0.292202,0.361894,-0.068538
DP 130,130,-0.304111,0.363376,-0.0699174
DP 131,131,-0.301818,0.348443,-0.068114
DP 132,132,-0.304566,0.339287,-0.0674739
DP 133,133,-0.304021,0.32697,-0.066015
DP 134,134,-0.310301,0.322348,-0.0661728
DP 135,135,-0.314107,0.315308,-0.0659628
DP 136,136,-0.313584,0.304063,-0.0646949
DP 137,137,-0.319643,0.299375,-0.0652166
DP 138,138,-0.315741,0.285259,-0.0632145
DP 139,139,-0.318277,0.277817,-0.0628457
DP 140,140,-0.317282,0.267546,-0.0615677
DP 141,141,-0.318568,0.259233,-0.0612803
DP 142,142,-0.320898,0.252029,-0.0607053
DP 143,143,-0.315319,0.239108,-0.0589563
DP 144,144,-0.316861,0.231711,-0.0585667
DP 145,145,-0.30853,0.217508,-0.0567131
DP 146,146,-0.320998,0.218179,-0.05791
DP 147,147,-0.315383,0.206192,-0.0566198
DP 148,148,-0.317661,0.199843,-0.056222
DP 149,149,-0.315116,0.191068,-0.0553835
DP 150,150,-0.312288,0.181861,-0.0551885
DP 151,151,-0.315804,0.176729,-0.0546736
DP 152,152,-0.312473,0.167737,-0.0536635
DP 153,153,-0.31091,0.160023,-0.053162
DP 154,154,-0.316053,0.155633,-0.0544435
DP 155,155,-0.313704,0.147979,-0.053138
DP 156,156,-0.319016,0.143576,-0.0554033
DP 157,157,-0.308679,0.132797,-0.0522405
DP 158,158,-0.314326,0.128521,-0.052964
DP 159,159,-0.320662,0.124635,-0.0553878
DP 160,160,-0.312175,0.115064,-0.0528214
DP 161,161,-0.321452,0.112417,-0.0565587
DP 162,162,-0.306012,0.100967,-0.0538965
DP 163,163,-0.296268,0.0924421,-0.0518258
DP 164,164,-0.281615,0.0828005,-0.0501973
DP 165,165,-0.274056,0.0755794,-0.0493241
DP 166,166,-0.261751,0.0674155,-0.0469359
DP 167,167,-0.24965,0.0600238,-0.0449292
DP 168,168,-0.232937,0.0520571,-0.0419562
DP 169,169,-0.216471,0.0449368,-0.038886
DP 170,170,-0.198574,0.03804,-0.0357264
DP 171,171,-0.179236,0.0315725,-0.0323695
DP 172,172,-0.161198,0.0260389,-0.0289974
DP 173,173,-0.141062,0.0208095,-0.0254036
DP 174,174,-0.123322,0.0166312,-0.0220574
DP 175,175,-0.100416,0.0124922,-0.0180019
DP 176,176,-0.0804873,0.00946918,-0.0144545
DP 177,177,-0.0600802,0.00707042,-0.0107132
DP 178,178,-0.0406323,0.00547419,-0.00729498
DP 179,179,-0.0205051,0.00453411,-0.00363279
DP 180,180,-0.000463525,0.00415392,-7.33047E-05
